player,season,team,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z
Jackson Irvine,2018,Australia,-0.42,-0.59,0.27,-0.5,-1.1,-1.02,-0.26,-0.84,0.22,-0.07,-0.8,-0.45,-0.89,-1.11,-0.49,-0.37
Joshua Risdon,2018,Australia,-0.42,-0.47,-0.51,-0.06,0.97,2.51,0.98,0.26,3.57,0.82,1.97,-0.45,-0.6,0.84,-0.49,-0.55
Mark Milligan,2018,Australia,-0.42,-0.59,-0.51,-0.8,3.13,3.12,-0.67,0.91,0.94,0.66,2.4,-0.45,-0.01,0.35,-0.91,-0.15
Mathew Leckie,2018,Australia,-0.42,1.26,0.27,3.91,-0.18,-0.41,0.98,0.91,-0.82,-0.45,1.12,-0.45,3.8,1.81,1.21,0.88
Mathew Ryan,2018,Australia,-0.42,-0.59,-0.51,-0.8,0.78,2.6,-0.67,-0.84,-0.82,-0.79,-0.38,-0.45,-0.6,-1.11,-0.91,-0.77
Mile Jedinak,2018,Australia,4.17,4.51,0.27,0.23,1.56,0.36,0.16,-0.4,1.14,1.0,-0.38,0.32,2.04,1.81,-0.06,-0.15
Robbie Kruse,2018,Australia,-0.42,-0.27,-0.51,0.82,-0.45,-0.67,-0.26,-0.4,0.52,-0.79,-0.59,-0.45,-0.6,-0.14,2.48,-0.63
Tim Cahill,2018,Australia,-0.42,-0.21,-0.51,0.23,-1.17,-1.02,-0.67,-0.84,-0.82,-0.79,-0.8,-0.45,-0.01,-0.14,-0.49,-0.74
Tom Rogic,2018,Australia,-0.42,0.11,-0.51,-0.65,-0.27,-0.59,3.04,0.48,-0.28,-0.07,-0.8,-0.45,-0.01,0.35,0.79,0.81
Tomi Juric,2018,Australia,-0.42,-0.59,-0.51,-0.5,-1.04,-0.85,-0.67,-0.84,-0.82,-0.79,-0.59,-0.45,0.57,-1.11,-0.49,-0.7
Trent Sainsbury,2018,Australia,-0.42,-0.06,-0.51,0.68,1.98,2.86,-0.67,0.26,-0.12,2.61,2.4,-0.45,2.04,-0.14,0.36,-0.19
Adnan Januzaj,2018,Belgium,0.57,-0.43,-0.17,-0.48,-1.15,-0.96,-0.14,-0.37,-0.82,-0.54,-0.8,-0.45,-0.89,-0.9,-0.73,-0.29
Axel Witsel,2018,Belgium,-0.42,-0.34,-0.17,-0.61,1.31,-0.33,0.39,-0.37,-0.07,0.82,-0.44,0.34,-0.14,0.77,0.73,-0.38
Dedryck Boyata,2018,Belgium,-0.42,-0.59,-0.51,-0.67,0.25,-0.22,-0.67,-0.65,-0.82,-0.01,0.48,0.61,0.36,-0.27,-0.55,-0.77
Dries Mertens,2018,Belgium,0.57,-0.24,0.82,0.84,-0.47,-0.51,-0.32,-0.55,-0.61,-0.23,-0.8,-0.45,-0.89,-0.27,-0.18,1.27
Eden Hazard,2018,Belgium,2.53,3.05,-0.17,2.55,0.55,0.67,6.41,3.19,0.51,0.23,-0.71,-0.45,-0.14,0.14,3.99,3.31
Jan Vertonghen,2018,Belgium,0.57,-0.56,-0.17,-0.23,1.26,1.37,-0.32,-0.46,0.97,0.75,0.66,0.59,0.74,-0.07,-0.36,-0.77
Kevin De Bruyne,2018,Belgium,0.57,0.34,3.15,0.4,1.03,1.11,0.22,1.7,0.5,1.1,-0.35,-0.45,-0.39,-0.07,-0.36,3.26
Leander Dendoncker,2018,Belgium,-0.42,-0.59,-0.51,-0.8,-0.74,-0.88,-0.67,-0.65,-0.58,-0.79,-0.62,0.11,-0.89,-0.69,-0.73,-0.77
Marouane Fellaini,2018,Belgium,0.57,-0.19,-0.17,0.53,-0.32,-0.73,-0.14,-0.65,0.33,-0.56,-0.16,1.75,1.12,1.19,0.18,-0.21
Michy Batshuayi,2018,Belgium,0.57,2.57,-0.51,0.34,-1.1,-1.1,-0.14,-0.55,-0.82,-0.79,-0.8,-0.45,-0.64,-1.11,-0.73,-0.29
Mousa Dembélé,2018,Belgium,-0.42,-0.59,-0.51,-0.8,-0.38,-0.81,-0.67,-0.37,0.37,-0.19,-0.53,1.14,-0.64,0.35,-0.73,-0.71
Nacer Chadli,2018,Belgium,0.57,0.25,0.82,0.09,0.03,0.11,0.57,0.48,-0.36,-0.01,-0.16,-0.45,-0.01,-0.69,-0.73,0.27
Romelu Lukaku,2018,Belgium,3.51,2.86,-0.17,1.92,-0.66,-0.92,0.39,0.29,-0.61,-0.79,-0.71,-0.45,0.62,0.98,-0.36,0.5
Thibaut Courtois,2018,Belgium,-0.42,-0.59,-0.51,-0.8,0.22,1.59,-0.67,-0.84,-0.82,-0.79,-0.35,-0.45,-0.64,-1.11,-0.91,-0.77
Thomas Meunier,2018,Belgium,0.57,0.25,0.82,0.28,0.33,0.93,0.04,1.13,-0.05,0.08,-0.25,0.58,-0.27,0.77,-0.73,1.13
Thomas Vermaelen,2018,Belgium,-0.42,-0.59,-0.51,-0.8,-0.7,-0.62,-0.67,-0.74,-0.58,-0.67,-0.53,-0.18,-0.77,-0.48,-0.73,-0.77
Thorgan Hazard,2018,Belgium,-0.42,-0.41,0.16,-0.54,-0.89,-0.73,-0.14,-0.18,0.0,-0.29,-0.53,-0.45,-0.77,-0.9,-0.91,-0.21
Toby Alderweireld,2018,Belgium,-0.42,-0.21,-0.51,-0.48,2.03,1.15,-0.67,1.98,0.76,0.33,1.12,3.42,-0.27,-0.27,-0.73,-0.73
Vincent Kompany,2018,Belgium,-0.42,-0.34,-0.51,0.34,0.94,0.3,-0.67,0.48,0.06,-0.31,1.3,1.59,-0.39,0.35,-0.73,-0.77
Yannick Carrasco,2018,Belgium,-0.42,-0.3,-0.51,0.15,-0.67,-0.44,0.22,0.1,0.06,-0.79,-0.44,-0.45,-0.89,-0.07,-0.0,0.11
Youri Tielemans,2018,Belgium,-0.42,-0.43,-0.17,-0.8,-0.46,-0.62,-0.14,-0.46,-0.34,-0.55,-0.8,-0.45,-0.77,-0.27,-0.36,-0.24
Alisson,2018,Brazil,-0.42,-0.59,-0.51,-0.8,-0.33,1.12,-0.67,-0.84,-0.82,-0.79,-0.55,-0.45,-0.54,-1.11,-0.91,-0.77
Casemiro,2018,Brazil,-0.42,-0.34,-0.04,0.09,1.36,0.45,0.82,0.21,3.12,1.41,0.61,0.17,0.69,-0.23,-0.4,-0.11
Danilo,2018,Brazil,-0.42,-0.59,-0.51,-0.8,-0.65,-0.74,-0.42,-0.7,-0.43,-0.39,-0.55,-0.45,-0.89,-1.11,-0.66,-0.66
Douglas Costa,2018,Brazil,-0.42,-0.38,-0.51,-0.0,-0.79,-0.74,1.31,2.05,-0.27,0.09,-0.8,-0.45,-0.89,-1.11,-0.91,0.75
Fagner,2018,Brazil,-0.42,-0.59,0.42,-0.27,1.16,0.34,-0.17,0.21,0.86,2.81,0.35,-0.45,-0.89,0.94,-0.15,-0.0
Fernandinho,2018,Brazil,-0.42,-0.38,-0.04,-0.71,-0.01,-0.59,-0.67,-0.7,-0.82,2.58,-0.67,0.56,0.52,0.06,-0.4,-0.64
Filipe Luís,2018,Brazil,-0.42,-0.55,-0.04,-0.53,0.07,0.03,-0.42,0.21,-0.11,0.11,-0.55,0.17,-0.54,-0.82,-0.91,-0.33
Gabriel Jesus,2018,Brazil,-0.42,0.78,-0.04,4.32,-0.42,-0.69,0.82,0.21,1.71,1.74,-0.29,-0.45,0.52,0.64,-0.15,1.96
Marcelo,2018,Brazil,-0.42,-0.41,1.36,0.09,1.6,1.94,0.32,2.05,0.94,2.2,-0.03,-0.45,-0.01,-0.82,-0.15,1.23
Miranda,2018,Brazil,-0.42,-0.47,-0.51,-0.09,1.5,0.29,-0.42,-0.44,2.31,1.81,1.63,3.79,0.87,1.23,0.11,-0.44
Neymar,2018,Brazil,2.33,5.02,4.15,5.82,1.3,0.91,4.78,4.28,0.39,-0.79,-0.8,0.17,-0.72,0.06,5.7,7.28
Paulinho,2018,Brazil,0.96,1.84,0.42,1.15,0.29,-0.74,0.32,-0.18,1.96,-0.23,-0.8,-0.45,-0.72,-0.23,0.62,0.95
Philippe Coutinho,2018,Brazil,2.33,2.19,-0.04,1.94,2.12,0.24,1.06,3.76,1.19,-0.23,-0.55,-0.45,-0.19,-0.23,0.87,2.03
Renato Augusto,2018,Brazil,0.96,0.39,-0.51,-0.35,-0.81,-0.95,-0.67,-0.57,-0.82,-0.39,-0.8,-0.45,-0.72,-1.11,-0.66,-0.53
Roberto Firmino,2018,Brazil,0.96,2.19,-0.51,1.5,-0.9,-1.05,-0.42,-0.31,-0.27,-0.79,-0.8,-0.45,-0.37,-0.52,-0.66,0.09
Thiago Silva,2018,Brazil,0.96,1.15,-0.51,1.23,1.89,0.7,-0.67,1.13,0.99,1.95,2.02,3.44,0.87,-0.52,-0.15,-0.6
Willian,2018,Brazil,-0.42,-0.34,1.36,-0.0,0.42,0.03,2.05,2.71,0.14,1.18,-0.55,-0.45,-0.19,0.35,1.63,1.39
Abel Aguilar,2018,Colombia,-0.42,-0.59,-0.51,-0.8,-1.16,-1.04,-0.67,-0.68,-0.82,-0.79,-0.8,-0.45,-0.69,-1.11,-0.91,-0.77
Carlos Bacca,2018,Colombia,-0.42,-0.35,-0.51,0.12,-1.01,-0.98,-0.67,-0.53,-0.26,-0.79,-0.8,-0.45,0.12,0.24,-0.62,-0.21
Carlos Sánchez,2018,Colombia,-0.42,-0.59,-0.51,-0.8,-0.37,-0.39,-0.67,-0.84,0.21,-0.5,-0.65,-0.45,-0.49,0.91,-0.62,-0.62
David Ospina,2018,Colombia,-0.42,-0.59,-0.51,-0.8,-0.36,1.1,-0.67,-0.84,-0.82,-0.79,-0.65,-0.45,-0.69,-1.11,-0.32,-0.77
Davinson Sánchez,2018,Colombia,-0.42,-0.41,-0.51,0.22,0.88,1.04,-0.67,-0.68,-0.52,0.91,3.19,2.92,1.14,-0.44,-0.32,-0.72
James Rodríguez,2018,Colombia,-0.42,-0.35,-0.51,0.02,-0.16,-0.15,0.76,-0.53,-0.39,-0.26,-0.65,-0.45,-0.69,0.24,-0.32,-0.16
Jefferson Lerma,2018,Colombia,-0.42,-0.53,-0.51,-0.8,-0.25,-0.86,-0.67,-0.53,-0.67,-0.48,0.08,0.55,-0.28,-0.1,-0.03,-0.52
Johan Mojica,2018,Colombia,-0.42,-0.57,1.11,-0.8,0.77,1.64,-0.1,-0.08,0.86,0.1,1.12,-0.45,0.73,-0.1,-0.32,0.01
José Izquierdo,2018,Colombia,-0.42,-0.59,0.03,-0.8,-1.03,-1.1,-0.1,-0.53,-0.82,-0.79,-0.8,-0.45,-0.69,-0.77,-0.91,-0.65
Juan Cuadrado,2018,Colombia,1.17,0.65,2.18,-0.08,0.51,0.63,1.9,0.83,-0.39,0.18,-0.06,-0.45,-0.49,0.24,2.61,1.41
Juan Quintero,2018,Colombia,1.17,-0.0,1.11,-0.59,0.55,1.46,-0.1,0.83,-0.16,-0.79,-0.65,-0.45,-0.89,-0.77,-0.03,1.77
Luis Muriel,2018,Colombia,-0.42,-0.43,-0.51,-0.69,-1.03,-1.04,-0.38,-0.53,-0.02,-0.79,-0.8,-0.45,0.12,-0.1,-0.91,-0.49
Mateus Uribe,2018,Colombia,-0.42,-0.14,-0.51,-0.69,-0.26,-0.63,-0.1,-0.53,1.16,0.1,-0.36,0.55,-0.49,-0.44,-0.62,-0.57
Radamel Falcao,2018,Colombia,1.17,1.68,-0.51,1.85,-0.13,-1.1,0.76,-0.23,-0.67,-0.79,-0.21,-0.45,1.95,1.25,1.73,-0.32
Santiago Arias,2018,Colombia,-0.42,-0.57,0.03,-0.29,1.06,1.4,-0.67,-0.38,0.41,1.9,0.82,1.21,0.73,1.92,0.56,-0.42
Wilmar Barrios,2018,Colombia,-0.42,-0.59,-0.51,-0.8,0.15,-0.15,-0.67,-0.38,1.8,0.55,0.08,0.2,-0.49,1.59,-0.03,-0.7
Yerry Mina,2018,Colombia,4.34,0.69,-0.51,0.22,0.61,-0.21,-0.38,0.38,0.34,0.55,2.6,0.85,1.95,0.91,0.56,-0.77
Óscar Murillo,2018,Colombia,-0.42,-0.49,-0.51,-0.29,-0.81,-0.75,-0.67,-0.53,-0.82,-0.48,0.68,-0.45,0.33,-1.11,-0.62,-0.77
Bryan Oviedo,2018,Costa Rica,-0.42,-0.36,0.27,-0.06,-0.27,0.45,-0.67,-0.4,-0.49,-0.19,0.05,-0.45,-0.31,0.84,-0.91,-0.26
Bryan Ruiz,2018,Costa Rica,-0.42,1.93,-0.51,-0.21,0.62,0.1,2.63,0.26,-0.56,-0.07,-0.38,-0.45,0.87,0.35,1.63,-0.33
Celso Borges,2018,Costa Rica,-0.42,0.76,0.27,0.38,0.66,-0.07,0.16,-0.4,0.01,-0.14,0.48,-0.45,0.87,-0.14,-0.91,-0.11
Christian Bolaños,2018,Costa Rica,-0.42,-0.59,0.27,-0.35,-0.79,-0.93,0.16,-0.62,-0.26,-0.79,-0.8,-0.45,-0.89,-1.11,-0.91,-0.41
Cristian Gamboa,2018,Costa Rica,-0.42,-0.38,1.05,-0.65,0.17,1.48,0.57,-0.62,1.49,-0.65,0.05,-0.3,0.28,0.84,1.63,0.48
Daniel Colindres,2018,Costa Rica,-0.42,-0.24,0.27,0.23,-0.89,-0.76,-0.26,-0.4,-0.26,-0.39,-0.8,-0.45,-0.89,0.84,0.36,-0.19
David Guzmán,2018,Costa Rica,-0.42,-0.5,1.05,-0.8,0.53,0.53,0.16,-0.18,-0.26,0.84,0.26,-0.45,-0.31,2.3,-0.49,0.4
Francisco Calvo,2018,Costa Rica,-0.42,-0.5,-0.51,-0.8,-0.31,0.27,-0.26,-0.84,0.52,-0.21,0.05,-0.45,-0.01,-0.62,-0.91,-0.48
Giancarlo González,2018,Costa Rica,-0.42,0.88,-0.51,-0.06,0.15,0.02,-0.67,-0.62,-0.82,0.19,3.89,2.22,0.87,-0.62,-0.06,-0.77
Joel Campbell,2018,Costa Rica,-0.42,-0.18,0.27,1.12,-0.7,-0.41,2.63,0.48,-0.82,-0.59,-0.8,-0.45,-0.6,0.35,0.36,1.5
Johan Venegas,2018,Costa Rica,-0.42,-0.59,-0.51,0.09,-0.72,-0.59,-0.26,-0.84,-0.76,0.44,-0.8,-0.45,1.16,1.81,0.79,-0.52
Johnny Acosta,2018,Costa Rica,-0.42,-0.59,-0.51,-0.8,0.07,0.79,-0.67,-0.4,0.01,-0.59,0.69,-0.14,0.28,-0.62,1.21,-0.77
Kendall Waston,2018,Costa Rica,1.88,-0.36,-0.51,-0.5,-0.56,-0.07,-0.67,-0.4,-0.82,-0.19,0.48,0.0,-0.31,-1.11,-0.49,-0.63
Keylor Navas,2018,Costa Rica,-0.42,-0.59,0.27,-0.8,-0.08,2.51,-0.67,-0.84,-0.82,0.37,-0.38,-0.45,0.28,-1.11,-0.06,-0.66
Marco Ureña,2018,Costa Rica,-0.42,-0.27,-0.51,-0.21,-0.96,-1.1,-0.26,-0.84,-0.19,-0.79,-0.8,-0.45,-0.6,0.84,-0.49,-0.37
Óscar Duarte,2018,Costa Rica,-0.42,-0.47,0.27,0.38,-0.12,0.1,0.16,0.04,-0.82,-0.72,1.12,-0.45,0.87,-0.14,-0.49,0.07
Andrej Kramaric,2018,Croatia,0.52,0.27,0.45,0.83,-0.34,-0.93,-0.16,0.15,-0.22,-0.79,-0.54,-0.45,-0.65,-0.71,-0.39,-0.13
Ante Rebic,2018,Croatia,0.52,0.62,-0.19,1.37,-0.68,-0.65,2.37,0.51,1.02,0.97,-0.19,-0.45,0.79,3.07,1.0,0.34
Danijel Subasic,2018,Croatia,-0.42,-0.59,-0.51,-0.8,-0.03,1.93,-0.67,-0.75,-0.82,-0.79,-0.72,-0.45,-0.41,-1.11,-0.56,-0.77
Dejan Lovren,2018,Croatia,-0.42,0.25,-0.51,0.71,1.36,0.76,-0.67,0.24,0.51,0.19,2.08,2.91,3.55,0.28,-0.04,-0.59
Domagoj Vida,2018,Croatia,0.52,-0.37,-0.51,-0.13,0.81,0.13,-0.5,-0.39,0.13,1.86,2.25,1.56,0.79,-0.71,-0.56,-0.53
Duje Caleta-Car,2018,Croatia,-0.42,-0.59,-0.51,-0.8,-1.02,-1.03,-0.67,-0.84,-0.82,-0.79,-0.1,-0.45,-0.77,-1.11,-0.91,-0.77
Filip Bradaric,2018,Croatia,-0.42,-0.59,-0.51,-0.8,-1.19,-1.07,-0.67,-0.84,-0.82,-0.79,-0.72,-0.45,-0.89,-1.11,-0.91,-0.77
Ivan Perisic,2018,Croatia,2.4,1.0,0.76,2.51,-0.21,-0.22,0.17,0.51,0.67,0.31,-0.19,0.9,0.55,-0.31,-0.04,1.03
Ivan Rakitic,2018,Croatia,0.52,0.88,1.4,-0.07,1.6,0.98,1.19,1.13,-0.1,0.18,0.07,0.39,0.55,0.68,2.56,1.12
Ivan Strinic,2018,Croatia,-0.42,-0.59,-0.19,-0.43,0.52,0.9,0.01,0.24,0.72,0.43,1.12,0.13,0.43,0.88,0.48,-0.46
Josip Pivaric,2018,Croatia,-0.42,-0.52,0.13,-0.62,-0.24,-0.08,0.68,-0.39,-0.15,-0.43,-0.45,0.13,-0.77,-0.11,-0.91,-0.26
Lovre Kalinic,2018,Croatia,-0.42,-0.59,-0.51,-0.8,-1.16,-0.86,-0.67,-0.84,-0.82,-0.79,-0.72,-0.45,-0.53,-1.11,-0.74,-0.77
Luka Modric,2018,Croatia,1.46,1.59,2.35,-0.07,2.12,1.64,1.86,1.67,0.51,1.56,-0.54,-0.45,0.07,1.28,1.17,2.05
Marcelo Brozovic,2018,Croatia,-0.42,-0.47,-0.51,-0.68,1.36,0.27,-0.67,-0.03,2.05,0.05,0.33,-0.45,0.79,-0.11,0.13,-0.41
Mario Mandzukic,2018,Croatia,2.4,2.97,-0.19,2.09,-0.37,-0.68,-0.33,-0.3,2.27,-0.54,0.16,0.13,2.11,1.48,1.17,0.08
Marko Pjaca,2018,Croatia,-0.42,-0.55,-0.51,-0.74,-1.11,-1.03,-0.67,-0.84,-0.47,-0.79,-0.8,-0.45,-0.53,-0.91,-0.22,-0.71
Mateo Kovacic,2018,Croatia,-0.42,-0.41,-0.51,-0.43,-0.37,-0.65,0.34,0.06,1.04,-0.79,-0.54,0.32,-0.65,-0.51,0.3,-0.41
Milan Badelj,2018,Croatia,0.52,-0.41,-0.51,-0.74,-0.75,-0.72,-0.16,-0.66,-0.15,1.26,-0.63,-0.45,-0.89,-0.31,-0.56,-0.56
Sime Vrsaljko,2018,Croatia,-0.42,-0.47,1.72,0.11,1.01,1.12,-0.16,0.95,0.35,1.78,0.59,0.13,0.79,0.88,0.3,0.85
Tin Jedvaj,2018,Croatia,-0.42,-0.59,-0.51,-0.8,-0.98,-0.68,-0.67,-0.75,-0.49,-0.45,-0.54,-0.45,-0.53,-0.91,-0.91,-0.56
Vedran Corluka,2018,Croatia,-0.42,-0.59,-0.51,-0.8,-0.81,-0.65,-0.16,-0.66,-0.49,0.25,0.42,-0.45,-0.29,-0.51,-0.91,-0.77
Andreas Christensen,2018,Denmark,-0.42,-0.59,-0.51,-0.59,0.88,-0.39,-0.67,0.53,-0.31,0.16,1.41,2.17,-0.08,-0.44,-0.03,-0.77
Andreas Cornelius,2018,Denmark,-0.42,-0.59,0.03,0.32,-0.99,-0.86,-0.38,-0.68,-0.82,-0.79,-0.51,-0.45,2.97,-0.1,-0.03,-0.14
Christian Eriksen,2018,Denmark,1.17,0.91,2.18,0.73,0.51,0.03,0.47,0.22,-0.31,0.06,-0.36,0.26,0.12,-1.11,-0.03,0.7
Henrik Dalsgaard,2018,Denmark,-0.42,-0.59,0.03,-0.8,0.52,1.52,-0.38,-0.08,1.53,0.42,2.74,0.8,2.15,1.59,-0.62,-0.19
Jens Stryger Larsen,2018,Denmark,-0.42,-0.43,-0.51,-0.18,-0.24,-0.21,-0.38,-0.68,-0.52,-0.46,0.08,0.26,-0.08,-0.77,-0.91,-0.21
Jonas Knudsen,2018,Denmark,-0.42,-0.59,0.03,-0.59,-0.83,-0.21,-0.38,-0.84,-0.82,-0.79,-0.36,-0.45,-0.28,-0.77,-0.91,0.45
Kasper Schmeichel,2018,Denmark,-0.42,-0.59,-0.51,-0.8,-0.18,2.53,-0.67,-0.84,-0.82,-0.48,-0.51,-0.45,-0.69,-1.11,-0.91,-0.32
Lasse Schöne,2018,Denmark,-0.42,-0.33,-0.51,-0.59,0.11,-0.27,-0.67,-0.68,0.04,0.56,0.08,0.18,-0.08,-0.44,-0.32,0.07
Martin Braithwaite,2018,Denmark,-0.42,-0.16,-0.51,0.32,-0.78,-0.92,0.19,-0.84,-0.82,-0.72,-0.36,-0.45,-0.08,0.58,-0.62,-0.47
Mathias Jørgensen,2018,Denmark,1.17,-0.27,-0.51,-0.49,-0.18,-0.21,-0.67,-0.53,-0.76,-0.51,0.82,-0.45,-0.08,0.24,-0.32,-0.55
Nicolai Jørgensen,2018,Denmark,-0.42,0.42,-0.51,1.04,-0.85,-0.98,-0.67,-0.23,-0.31,-0.79,-0.06,-0.45,0.53,0.24,-0.91,0.65
Pione Sisto,2018,Denmark,-0.42,-0.24,0.57,0.02,-0.34,-0.39,2.47,0.53,-0.26,-0.15,-0.65,-0.45,-0.89,-1.11,0.85,0.42
Simon Kjaer,2018,Denmark,-0.42,-0.59,-0.51,0.02,1.25,1.58,-0.67,-0.08,-0.21,-0.79,3.93,0.13,0.53,-0.44,-0.62,0.12
Thomas Delaney,2018,Denmark,-0.42,-0.22,-0.51,0.63,0.56,-0.09,-0.1,-0.23,1.12,0.75,-0.06,0.33,1.55,2.94,-0.03,-0.04
Viktor Fischer,2018,Denmark,-0.42,-0.55,-0.51,-0.8,-1.16,-1.04,-0.67,-0.84,-0.82,-0.79,-0.65,-0.45,-0.89,-1.11,-0.91,-0.77
William Kvist,2018,Denmark,-0.42,-0.59,-0.51,-0.8,-1.02,-0.98,-0.67,-0.84,-0.82,-0.79,-0.8,-0.45,-0.69,-1.11,-0.62,-0.75
Yussuf Yurary Poulsen,2018,Denmark,1.17,0.14,-0.51,1.24,-0.5,-0.81,1.33,0.53,-0.03,0.02,-0.06,0.8,2.15,1.92,-0.32,-0.04
Abdalla Said,2018,Egypt,-0.42,-0.24,1.82,-0.35,0.91,0.88,0.16,1.13,-0.16,0.79,-0.59,-0.45,-0.01,-1.11,-0.06,1.43
Ahmed Fathi,2018,Egypt,-0.42,-0.56,1.82,-0.65,1.31,2.94,-0.26,0.26,1.45,1.63,1.55,-0.45,-0.31,2.3,-0.49,0.66
Ahmed Hegazi,2018,Egypt,-0.42,-0.59,-0.51,-0.5,0.51,0.7,-0.26,0.48,-0.26,3.7,4.53,1.25,1.45,-0.14,-0.49,-0.77
Ali Gabr,2018,Egypt,-0.42,-0.5,0.27,-0.06,-0.08,-0.07,-0.67,-0.84,0.64,-0.28,2.83,1.44,-0.01,-0.14,-0.49,-0.33
Amr Warda,2018,Egypt,-0.42,-0.47,-0.51,-0.5,-0.54,-0.33,0.57,1.13,-0.57,0.04,-0.16,-0.08,0.28,-0.62,1.21,0.18
Essam El-Hadary,2018,Egypt,-0.42,-0.59,-0.51,-0.8,-0.91,-0.41,-0.67,-0.84,-0.82,-0.79,-0.8,-0.45,-0.89,-1.11,-0.91,-0.77
